id,category,title_zh,title_en,opening_periods,websites,venue_zh,venue_en,address_zh,address_en,district
659ee8f6-423f-11f1-81dc-dafe16e01704,cinema,東德怒火青春,Punching the World,2026-04-27,['https://www.goethe.de/ins/hon/en/ver.cfm?event_id=27249347'],百老匯電影中心,"Broadway Cinematheque, Hong Kong",,"14/F Hong Kong Arts Centre, 2 Harbour Road, Wan Chai Hong Kong",
65f10e46-423f-11f1-81dc-dafe16e01704,cinema,,Film screening: Two to One - Goethe-Institut Hong Kong,2026-04-28,['https://www.goethe.de/ins/hon/en/ver.cfm?event_id=27260707'],百老匯電影中心,"Broadway Cinematheque, Hong Kong",九龍油麻地眾坊街3號駿發花園,"14/F Hong Kong Arts Centre, 2 Harbour Road, Wan Chai, Hong Kong",kl_west
5c212eea-3bbb-11f1-81dc-dafe16e01704,cinema,香港國際電影節,Hong Kong International Film Festival,2026-04-01~2026-04-12,['https://www.hkiff.org.hk'],,,,,n/a
f2125748-39f8-11f1-81dc-dafe16e01704,cinema,東德怒火青春,Punching the World,2026-04-25,['https://www.goethe.de/ins/hon/en/ver.cfm?event_id=27249344'],PALACE ifc,PALACE ifc,,,hk_wanchai
fe8d78cf-387d-11f1-81dc-dafe16e01704,cinema,富貴逼東人,Two to One,2026-04-15,['https://www.goethe.de/ins/hon/en/ver.cfm?event_id=27260499'],香港電影資料館,Hong Kong Film Archive,香港西營盤麗景道50號,"50 Lei King Road, Sai Wan Ho, Hong Kong",hk_east
0df94729-3877-11f1-81dc-dafe16e01704,cinema,戰場上的快樂聖誕,"Merry Christmas, Mr. Lawrence",2026-04-12,['https://www.hk.artsfestival.org/tc/programme/PLUS_Merry_Christmas_Mr_Lawrence'],MOViE MOViE Pacific Place,,,,
0d597874-3877-11f1-81dc-dafe16e01704,cinema,末代皇帝溥儀（4K修復版）,The Last Emperor (4K Restoration),2026-04-11,['https://www.hk.artsfestival.org/tc/programme/PLUS_The_Last_Emperor'],,,PALACE ifc,,
0ccf5884-3877-11f1-81dc-dafe16e01704,cinema,莫扎特傳,Amadeus,2026-04-25,['https://www.hk.artsfestival.org/tc/programme/PLUS_Amadeus'],PALACE ifc,,,,
0c21440c-3877-11f1-81dc-dafe16e01704,cinema,坂本龍一 | Playing the Orchestra 2014,Ryuichi Sakamoto | Playing the Orchestra 2014,2026-04-18,['https://www.hk.artsfestival.org/tc/programme/PLUS_Playing_the_Orchestra'],MOViE MOViE Pacific Place,,,,
828ac4ee-291e-11f1-a125-dafe16e01704,cinema,星空電影院,Movie Under the Stars,2026-04-24~2026-04-25,['https://www.filmarchive.gov.hk/tc/web/hkfa/2026/movie-under-the-stars/pe-event-2026-movie-under-the-stars.html'],星光大道梳士巴利花園草地,"Central Lawn, Salisbury Garden, Avenue of Stars",香港尖沙咀梳士巴利道10號,"10 Salisbury Road, Tsim Sha Tsui, Hong Kong",kl_west
b3f6b70d-04b3-11f1-a9fa-dafe16e01704,cinema,,All Star Video,2026-02-13~2026-07-04,['https://www.mplus.org.hk/tc/exhibitions/all-star-video'],M+,M+,香港西九文化區博物館道38號,"38 Museum Drive, West Kowloon Cultural District, Hong Kong",kl_west
6e9399b5-f4cd-11f0-8f8a-dafe16e01704,cinema,2026 JCCAC週六放映廠,2026 JCCAC Saturday Film,2026-01-30 / 2026-02-27 / 2026-04-24 / 2026-05-06 / 2026-05-22 / 2026-06-26,['https://www.jccac.org.hk/?a=group&id=c_1&doc_id=9855'],JCCAC 賽馬會創意藝術中心,JCCAC Jockey Club Creative Arts Centre,九龍石硤尾白田街30號,"30 Pak Tin Street, Shek Kip Mei, Kowloon",kl_west
b961702d-07ce-11f1-98ca-dafe16e01704,cinema/festival,Yuri Ancarani：崇高的真實,Yuri Ancarani: The Sublime of the Real,2026-02-08~2026-04-08,['https://www.instagram.com/thy_lab_/p/DUVK3YVk0ih'],Thy Lab 旲堂,Thy Lab,深水埗汝州街135號地下,"G/F, 135 Yu Chau Street, Sham Shui Po, Hong Kong",kl_west
324e8c86-5b47-11f1-a41b-1ab7d6ca2563,exhibition,你好，香港 — 萬鼎山水畫作品展（香港、深圳）,,2026-03-05 / 2026-04-06,['https://www.lcsd.gov.hk/clpss/tc/search/culture/DetailForm.do?id=183066'],香港中央圖書館 (地下展覽館),Hong Kong Central Library (G/F Exhibition Gallery),香港銅鑼灣高士威道66號,"66 Causeway Road, Causeway Bay, Hong Kong",hk_wanchai
b2ccf4be-5027-11f1-a02e-1ab7d6ca2563,exhibition,由看見到了解：一場攝影的跨代對話,An Intergenerational Dialogue in Photography- Time,2026-04-30,['https://www.instagram.com/p/DXn6lXTkTg_/'],香港藝術學院,Hong Kong Art School,香港灣仔港灣道2號香港藝術中心10樓,"10/F, Hong Kong Arts Centre, 2 Harbour Road, Wan Chai, Hong Kong",hk_wanchai
03b396c3-4812-11f1-8736-1ab7d6ca2563,exhibition,【擁抱無限的藍】Márta Jakobovits 陶瓷個人作品展,,2026-04-19~2026-05-10,['https://www.pmq.org.hk/event/embracing-infinite-blue-marta-jakobovits-ceramic-solo-exhibition/?lang=ch'],PMQ元創坊 H211 Mauolah Muse,"Mauolah Muse, H211, PMQ",香港中環鴨巴甸街35號,"35 Aberdeen Street, Central, Hong Kong",hk_central_west
03674c55-4812-11f1-8736-1ab7d6ca2563,exhibition,「在結束之後」：温倩怡個人展覽,"“The After”: A Solo Exhibition by Wan Shin-yee, Clara",2026-04-24~2026-05-03,['https://www.pmq.org.hk/event/hkop-award-in-printmaking-2526-the-after-a-solo-exhibition-by-wan-shin-yee-clara/?lang=ch'],Print Art Contemporary 當代印藝,Print Art Contemporary,香港中環鴨巴甸街35號,"35 Aberdeen Street, Central, Hong Kong",hk_central_west
dab31487-47bb-11f1-99df-1ab7d6ca2563,exhibition,廢墟花園：宅院的空間記憶，想像，與再生,"Ruin Garden: Memory, Imagination, and Spatial Rebirth",2026-04-29~2026-05-13,['https://www.instagram.com/kukpo.vision/p/DX2AbnwCYre'],中環威靈頓街 2-8 號威靈頓廣場 G2/F （雲咸街入口）,"Wellington Place, 2-8 Wellington Street (Wyndham Street Entrance), Central, Hong Kong",香港中環威靈頓街 2-8 號威靈頓廣場 G2/F （雲咸街入口）,"Wellington Place, 2-8 Wellington Street (Wyndham Street Entrance), Central, Hong Kong",hk_central_west
d187b85d-423f-11f1-81dc-dafe16e01704,exhibition,林建才「從繪本到家的距離」,Kinchoi Lam “The Journey from Stories to Home”,2026-04-23~2026-06-21,['https://www.pmq.org.hk/event/pmq-picture-book-library-start-from-here-kinchoi-lam-the-journey-from-stories-to-home/?lang=ch'],PMQ元創方,PMQ,香港中環鴨巴甸街35號,"35 Aberdeen Street, Central, Hong Kong",hk_central_west
